No;Algorithm;Submitters
1;ADKEX (Authenticated Ding Key Exchange);Rui Liu, Chen Kong, Wenbin Zhang, Neng Zeng, Han Xia, Manoj Gyawali, Samuel José García, Alba Hernández Costoya, Haiyang Xue, Junhao Huang, Boru Gong, Yi Jin
2;AFS-KEX;Yunlei Zhao, Biming Zhou, Zhixiang Zhao, Chaofeng Guan, Songlin Li, Yifan Dong, Boyue Fang, Hanyu Wei, Wenqian Li, Weizhi Ao, Xinsheng Zhang, Wenbo Guo, Jieyu Zheng, Zhenhao Zhang, Xiao Li
3;CreTAKE;Xianhui Lu, Jingnan He, Yao Cheng, Haiyang Xue, Yamin Liu, Jiabo Wang
4;DKEX (Ding Key Exchange);Rui Liu, Chen Kong, Wenbin Zhang, Neng Zeng, Han Xia, Manoj Gyawali, Samuel José García, Alba Hernández Costoya, Haiyang Xue, Junhao Huang, Boru Gong, Yi Jin
5;Loom;Long Chen, Zidi Zhuang, Yuyang Xiao, Cong Zhang, Si Gao, Jipeng Zhang, Guofeng Tang, Zihan Liu, Yifan Ming, Jianhua Hou, Ruiqi Mi, Tanping Zhou, Pengfei Chen, Yutao Sun, Shuo Chen, Yingjie Hao, Taiyu Wang, Minxuan Mei
6;MAMBA-NIKE;Shanxiang Lyu, Hao Cheng, Tang Zhou, Ke Ma, Chengjin Tian, Junzuo Lai, Zheng Wang, Jinming Wen, Tao Yang, Zheng Qin, Zhengchun Zhou
7;NEV-AKE;Jiang Zhang, Shuqin Fan, Kang Yang, Jiangxia Ge, Di Yan, Debiao He, Yu Yu, Runqing Xu, Jing Pan, Yuanmi Chen, Weijia Wang, Cong Peng, Hui Guo, Hui Zhu, Ruikang Liu
8;NIIKE;Yunlei Zhao, Kaizhan Lin, Weize Wang, Chutong Wang, Qifan Xue, Zhi Hu, Zheng Tao, Yijing Zhang, Zhaohui Cheng
9;TriQ-KEX;Lan Luo, Chaofeng Guan, Zhi Ma, Yunlei Zhao, Hong Wang, Jianhua Hou, Tong Yu
